branch,local_exists,remote_exists,upstream,ahead_vs_origin_master,behind_vs_origin_master,tip_sha,tip_date,tip_author,tip_subject,linked_prs,disposition,evidence_note
codex/add-mq2moveutils-breakingm-toggle,true,true,,2,1014,6397eb7a4,2026-04-03,openai-code-agent[bot],Add GM movement safety toggle,,superseded,Break-on-GM toggle is already represented on master.
codex/add-mq2moveutils-safety-toggles,true,true,,2,1014,6bc5d5c9e,2026-04-03,openai-code-agent[bot],Add nav safety toggles for warp and summon events,,superseded,Warp/summon safety toggles are already represented on master.
codex/add-pet-management-commands,true,true,,3,1010,ebc4067b8,2026-04-03,Maleick,Merge branch 'master' into codex/add-pet-management-commands,,superseded,Pet-management command surface is already represented on master.
codex/add-stick-and-follow-commands,true,true,,2,1014,407810366,2026-04-03,openai-code-agent[bot],feat: add stick and follow movement commands,,superseded,Stick/follow command support is already represented on master.
codex/codex-issue-48-daybreak-detection-digest,true,false,,0,1016,be349b606,2026-04-03,openai-code-agent[bot],Initial plan,,superseded,Plan-only local branch; no implementation to preserve and roadmap tracking now lives elsewhere.
codex/conduct-deep-audit-and-tui-improvements,true,true,origin/codex/conduct-deep-audit-and-tui-improvements,1,1141,64fd57f71,2026-04-01,Maleick,fix: clean clippy warning and rebrand stale frostreaver examples,,superseded,Minor cleanup diff; current master already carries newer TUI and audit work.
codex/credential-secret-hardening,true,true,,3,1042,3ba87b9db,2026-04-02,Maleick,fix zeroizing password move in login flow,,superseded,Credential and token hardening already exists on master across credentials and injection code.
codex/fix-all-clippy-warnings,true,true,origin/codex/fix-all-clippy-warnings,1,1144,1bf480230,2026-04-01,Maleick,fix: resolve clippy warnings and lint cleanups,,superseded,Superseded by later CI/clippy cleanup on master.
codex/fix-ipc-clippy-regressions,false,true,,0,1022,a76cf8ee2,2026-04-03,Maleick,ci: harden nightly workflow validation paths (#96),,delete_now,No branch-only commits versus master.
codex/fix-vulnerability-in-claude-agent-workflow,true,true,,3,728,76ca163f4,2026-04-03,Maleick,fix: use explicit default_branch ref in claude-agent checkout,#363 CLOSED https://github.com/Maleick/TextQuest/pull/363,superseded,Workflow concern is obsolete under current workflow layout; branch changes are no longer needed on master.
codex/implement-navmesh-off-mesh-connections,true,true,,3,1010,d2832ecd2,2026-04-03,Maleick,Merge branch 'master' into codex/implement-navmesh-off-mesh-connections,,superseded,Navmesh/off-mesh routing work is already superseded by current master navigation code.
codex/issue-108-zoning-queue-safe-coord,true,true,,3,1032,aeb11d872,2026-04-02,Maleick,docs: align packet zoning checkpoint ledger,,superseded,Zoning recovery/checkpoint docs are already represented on master.
codex/issue-174-nav-reload,true,true,,4,1010,959ed142e,2026-04-03,Maleick,Merge branch 'master' into codex/issue-174-nav-reload,,superseded,README and IPC code show nav reload already on master.
codex/issue-175-nav-waypoint,true,true,,2,1010,679e7a965,2026-04-03,Maleick,Merge branch 'master' into codex/issue-175-nav-waypoint,,superseded,Named waypoint persistence and IPC already exist on master.
codex/issue-176-nav-state-signals,true,true,,4,1010,a20de7919,2026-04-03,Maleick,Merge branch 'master' into codex/issue-176-nav-state-signals,,superseded,MQ2Nav state signals already exist on master.
codex/issue-177-nav-ui,false,true,,9,1010,d68832655,2026-04-03,Maleick,Merge branch 'master' into codex/issue-177-nav-ui,,superseded,Nav UI command parity already exists on master.
codex/issue-178-mapfilter-toggles,true,true,,3,1010,8845f79df,2026-04-03,Maleick,Merge branch 'master' into codex/issue-178-mapfilter-toggles,,superseded,Mapfilter visibility toggles are already represented on master.
codex/issue-50-zone-transition-state-map,true,true,,4,1010,01b2f404e,2026-04-03,Maleick,Merge branch 'master' into codex/issue-50-zone-transition-state-map,,superseded,Zone transition state-map docs/work are already represented on master.
codex/night-research-20260402a,true,true,,5,1010,2b432259f,2026-04-03,Maleick,Merge branch 'master' into codex/night-research-20260402a,,superseded,Docs-only checkpoint curation superseded by current roadmap and wiki state on master.
codex/propose-fix-for-dll-staging-vulnerability,true,true,origin/codex/propose-fix-for-dll-staging-vulnerability,1,1042,af07c69dd,2026-04-03,Maleick,Harden DLL staging against temp payload hijack,#320 CLOSED https://github.com/Maleick/TextQuest/pull/320,superseded,DLL staging hardening already exists on master in injection validation and token-path handling.
codex/propose-fix-for-navmesh-overlay-vulnerability,true,true,,2,1010,31dad2fe6,2026-04-03,Maleick,Merge branch 'master' into codex/propose-fix-for-navmesh-overlay-vulnerability,,superseded,Navmesh overlay safety handling has already been superseded by current master implementation.
codex/token-hardening,true,true,,10,1010,463436f3e,2026-04-03,Maleick,Merge branch 'master' into codex/token-hardening,,superseded,IPC/token hardening already exists on master; branch is stale pre-rename security history.
codex/track-cast-outcome-taxonomy,true,true,,3,1010,43414b1bd,2026-04-03,Maleick,Merge branch 'master' into codex/track-cast-outcome-taxonomy,,superseded,Cast outcome taxonomy is already represented on master in combat telemetry.
copilot/add-mq2-switchserver-switchcharacter-commands,true,true,,4,1010,6f1447f00,2026-04-03,Maleick,Merge branch 'master' into copilot/add-mq2-switchserver-switchcharacter-commands,,superseded,SwitchServer/SwitchCharacter support already exists on master.
copilot/add-mq2map-controls,true,true,,4,1010,5137ef4a4,2026-04-03,Maleick,Merge branch 'master' into copilot/add-mq2map-controls,,superseded,MQ2Map overlay/radius controls are already represented on master.
copilot/add-mq2map-mapfilter-alias,true,true,,3,1010,16bf5db4c,2026-04-03,Maleick,Merge branch 'master' into copilot/add-mq2map-mapfilter-alias,,superseded,MQ2Map range overlay aliases are already represented on master.
copilot/add-mq2moveutils-arc-controls,true,true,,3,1010,5adbc4e10,2026-04-03,Maleick,Merge branch 'master' into copilot/add-mq2moveutils-arc-controls,,superseded,Stick arc controls are already represented on master.
copilot/add-mq2moveutils-commands,true,true,,3,995,9b3df8e41,2026-04-03,Maleick,Resolve merge conflicts with master,,superseded,MQ2MoveUtils moveto parity is already represented on master.
copilot/add-mq2moveutils-options,true,true,,4,992,ce96e235f,2026-04-03,Maleick,Resolve merge conflicts with master,,superseded,Makecamp/scatter delay options are already represented on master.
copilot/analyze-test-coverage,false,true,,0,0,b8be611fb,2026-04-08,Maleick,"chore: CI pipeline audit — fix tests, clippy, redundant workflows (#680)",,delete_now,GitHub-only branch points at current master commit b8be611fb and has no PR history.
copilot/auto-detect-persist-seen-characters,false,true,,3,1010,32406ef35,2026-04-03,Maleick,Merge branch 'master' into copilot/auto-detect-persist-seen-characters,,superseded,Seen-character persistence already exists on master.
copilot/fix-action-run-failure,true,false,,6,728,a995ae7ec,2026-04-04,copilot-swe-agent[bot],Fix CI test failures: workflow types and external research index ordering,#377 MERGED merged https://github.com/Maleick/TextQuest/pull/377,superseded,Merged into the Ghidra branch and superseded by current master workflow/docs state.
copilot/fix-actions-and-ci-failures,true,true,,2,1149,6aface5f3,2026-04-01,copilot-swe-agent[bot],fix: resolve CI and actions failures,,superseded,Older CI fixups are superseded by current master workflow state.
copilot/fix-ci-run-issues,true,true,,4,1304,472f604aa,2026-04-07,Maleick,Update ci.yml,,superseded,Older CI fixups are superseded by current master workflow state.
copilot/fix-clippy-regressions-ipc,true,true,,3,1024,a4a0f59fb,2026-04-08,Copilot,merge: resolve PR #208 conflicts against textquest rename and refactor (#677),,superseded,Conflict-resolution branch for stale IPC/token-hardening work; master already carries the surviving fixes.
copilot/fix-password-hardening-compile-regression,true,true,,4,1010,2a970ba55,2026-04-03,Maleick,Merge branch 'master' into copilot/fix-password-hardening-compile-regression,,superseded,Password/credential compile hardening is already present on master.
copilot/fix-windows-loader-compile-regression,true,true,,9,1024,adc236262,2026-04-08,Copilot,Resolve PR #206 conflicts on master and preserve injection hardening (#678),,superseded,Windows loader and staging hardening already exist on master; remaining branch history is stale conflict-resolution work.
copilot/identify-slow-code-improvements,true,true,,2,1304,6b15da9ba,2026-03-31,copilot-swe-agent[bot],"perf: eliminate hot-path allocations in TUI rendering, spawn filter, and distance math",,superseded,Performance cleanups are superseded by later master changes.
copilot/resolve-conflicts-and-refactor-again,false,true,,6,2,8d5d5c829,2026-04-08,copilot-swe-agent[bot],Merge origin/master: resolve conflicts from dmft->textquest rename,#675 CLOSED https://github.com/Maleick/TextQuest/pull/675,superseded,Closed conflict-resolution branch for issue #349; underlying feature already exists on master.
copilot/surface-heal-buff-debuff-priority-visibility,true,true,,5,1010,29b25c3a1,2026-04-03,Maleick,Merge branch 'master' into copilot/surface-heal-buff-debuff-priority-visibility,,superseded,Priority queue visibility is already represented on master.
fix/ci-green-master,true,true,,2,1304,ab50fd347,2026-03-31,Michael Miles,Refactor distance calculations and improve case-insensitive string handling,,superseded,Older CI-green refactor branch superseded by later master cleanup.
master,true,true,origin/master,0,0,b8be611fb,2026-04-08,Maleick,"chore: CI pipeline audit — fix tests, clippy, redundant workflows (#680)",,keep_temporarily,Default branch.
